"datasourceid","outputfrequency","startofperiod","sensor_name","atmPressure24HourMean.raw","atmPressure24HourMean.value","bcAllSources24HourMean.raw","bcAllSources24HourMean.value","bcBiomass24HourMean.raw","bcBiomass24HourMean.value","bcFossilFuel24HourMean.raw","bcFossilFuel24HourMean.value","bcSpectralB24HourMean.raw","bcSpectralB24HourMean.value","bcSpectralG24HourMean.raw","bcSpectralG24HourMean.value","bcSpectralIR24HourMean.raw","bcSpectralIR24HourMean.value","bcSpectralR24HourMean.raw","bcSpectralR24HourMean.value","bcSpectralUV24HourMean.raw","bcSpectralUV24HourMean.value","no2Conc24HourMean.raw","no2Conc24HourMean.value","pm2_5ConcMass24HourMean.raw","pm2_5ConcMass24HourMean.value","pm2_5ConcMass24HourMeanUsEpaAqi.raw","pm2_5ConcMass24HourMeanUsEpaAqi.value","pm2_5ConcNum24HourMean.raw","pm2_5ConcNum24HourMean.value","relHumidAmbient24HourMean.raw","relHumidAmbient24HourMean.value","relHumidInternal24HourMean.raw","relHumidInternal24HourMean.value","temperatureAmbient24HourMean.raw","temperatureAmbient24HourMean.value","temperatureInternal24HourMean.raw","temperatureInternal24HourMean.value","windDirection24HourMean.raw","windDirection24HourMean.value","windSpeed24HourMean.raw","windSpeed24HourMean.value","latitude","longitude","location","record_id"
"DIQKT3554","day","10/21/2025 12:00:00 AM","Lincoln Park 1",,,,,,,,,,,,,,,,,,,"17.18","13.29","3.99","4.39","22","24","5.37","5.37",,,"62.31","62.31",,,"12.4","12.4",,,,,"41.92154965","-87.65448778151","POINT (-87.65448778150906 41.92154965)","DIQKT3554_2025-10-21"
"DLDVK7370","day","12/24/2025 12:00:00 AM","South Chicago 2",,,,,,,,,,,,,,,,,,,"17.62","14.54","41.22","17.64","115","67","32.98","32.98",,,"71.86","71.86",,,"5.08","5.08",,,,,"41.75137435","-87.55253841883","POINT (-87.55253841882741 41.75137435)","DLDVK7370_2025-12-24"
"DQIUL8061","day","11/13/2025 12:00:00 AM","South Shore 1",,,,,,,,,,,,,,,,,,,,,"9.39","7.48","51","41","8.88","8.88",,,"52.04","52.04",,,"8.33","8.33",,,,,"41.7641265","-87.5857492","POINT (-87.5857492 41.7641265)","DQIUL8061_2025-11-13"
"DEJMD2536","day","10/22/2025 12:00:00 AM","O'Hare 1",,,,,,,,,,,,,,,,,,,"11.55","9.68","0.36","3.38","2","18","1.89","1.89",,,"66.18","66.18",,,"9.38","9.38",,,,,"41.9762844","-87.8527641","POINT (-87.8527641 41.9762844)","DEJMD2536_2025-10-22"
"DFQDK6326","day","10/26/2025 12:00:00 AM","Beverly 1",,,,,,,,,,,,,,,,,,,"9.3","11.38",,,,,,,,,"60.96","60.96",,,"11.6","11.6",,,,,"41.7328393","-87.67465490629","POINT (-87.67465490628803 41.732839299999995)","DFQDK6326_2025-10-26"
"DIPDE7442","day","11/24/2025 12:00:00 AM","Schiller Park Collocation 3",,,,,,,,,,,,,,,,,,,"26.31","22.57","46.35","23.53","128","78","30.73","30.73",,,"66.24","66.24",,,"6.95","6.95",,,,,"41.965175","-87.876252","POINT (-87.876252 41.965175)","DIPDE7442_2025-11-24"
"DXRZC4102","day","09/29/2025 12:00:00 AM","New City 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.48","66.48",,,"23.66","23.66",,,,,"41.8149286","-87.66950393452","POINT (-87.66950393452069 41.8149286)","DXRZC4102_2025-09-29"
"DQZIL1804","day","10/05/2025 12:00:00 AM","Brighton Park 2",,,,,,,,,,,,,,,,,,,"10.01","13.37","13.75","10.93","60","54","21.81","21.81",,,"45.34","45.34",,,"25.38","25.38",,,,,"41.8150889","-87.68617463895","POINT (-87.68617463894653 41.8150889)","DQZIL1804_2025-10-05"
"DIIPF3878","day","11/14/2025 12:00:00 AM","Edgewater 2",,,,,,,,,,,,,,,,,,,,,"16.8","11.88","65","56","18.71","18.71",,,"49.13","49.13",,,"13.26","13.26",,,,,"41.9859255","-87.65593","POINT (-87.65593 41.9859255)","DIIPF3878_2025-11-14"
"DEJMD2536","day","11/09/2025 12:00:00 AM","O'Hare 1",,,,,,,,,,,,,,,,,,,,,"2.35","3.88","13","21","3.31","3.31",,,"75.9","75.9",,,"2.08","2.08",,,,,"41.9762844","-87.8527641","POINT (-87.8527641 41.9762844)","DEJMD2536_2025-11-09"
